"id","score","current_outbound_url","suggested_youtube_url","suggested_thumbnail_url","suggested_video_title"
"2022-the-truth-takes-a-journalist-the-new-york-times","0.7","https://www.youtube.com/watch?v=uAsmh7yuR3U","https://www.youtube.com/watch?v=Y5NXk4ymmqQ","https://i.ytimg.com/vi/Y5NXk4ymmqQ/hqdefault.jpg","The New York Times - The Truth Takes a Journalist | Hand-picked by Good Ads Matter"
"2019-9-58-seconds-the-world-s-fastest-annual-report-puma-se","0.7","https://clios.com/awards/winner/digital-mobile-social-media-technique/puma-se/9-58-seconds-the-world-s-fastest-annual-report-69437","https://www.youtube.com/watch?v=nYKEGhiJ-ZU","https://i.ytimg.com/vi/nYKEGhiJ-ZU/hqdefault.jpg","PUMA The World´s Fastest Annual Report - Publicis PixelPark"
"2022-lil-dicky-quartertime-show-gopuff","0.6667","https://www.youtube.com/watch?v=qyH7jiUwEYM","https://www.youtube.com/watch?v=F0r97aJ9hVY","https://i.ytimg.com/vi/F0r97aJ9hVY/hqdefault.jpg","The Gopuff Quartertime Show Starring Lil Dicky Super Bowl 2022"
"2024-don-t-drink-hertog-jan-hertog-jan","0.5714","https://www.youtube.com/watch?v=pn80885I5OY","https://www.youtube.com/watch?v=pn80885I5OY","https://i.ytimg.com/vi/pn80885I5OY/hqdefault.jpg","HERTOG JAN - DON’T DRINK HERTOG JAN (Case Study)  Campaign"
"2019-blink-test-jimmy-nelson-foundation","0.5556","https://www.youtube.com/watch?v=YCT6HzTqEmo","https://www.youtube.com/watch?v=jaOvud1iWuU","https://i.ytimg.com/vi/jaOvud1iWuU/hqdefault.jpg","Jimmy Nelson Foundation for Blink Test by JWT (Award Winning)"
"2019-apple-at-work-the-underdogs-apple","0.5","https://www.youtube.com/watch?v=bvM7LPfa_q8","https://www.youtube.com/watch?v=JJwdhWM9d0Y","https://i.ytimg.com/vi/JJwdhWM9d0Y/hqdefault.jpg","The Underdogs: Apple at Work"
"2018-the-canceller-reclame-aqui","0.5","https://www.youtube.com/watch?v=bsrmvc440SI","https://www.youtube.com/watch?v=XNH5ryBxGIk","https://i.ytimg.com/vi/XNH5ryBxGIk/hqdefault.jpg","Corruption Detector Case Ad Reclame Aqui Grey Brazil 2018"
"2014-friend-compass-momondo","0.5","https://www.youtube.com/watch?v=I2hi1wZcjOA&ab_channel=McCannParis","https://www.youtube.com/watch?v=ahuDo9_sMhc","https://i.ytimg.com/vi/ahuDo9_sMhc/hqdefault.jpg","Momondo Friend Compass / Casestudy"
"2022-stayfree-project-free-period-johnson-johnson","0.4444","https://www.youtube.com/watch?v=oUK6ZGKfA6Q","https://www.youtube.com/watch?v=0ZWiWrwwwjE","https://i.ytimg.com/vi/0ZWiWrwwwjE/hqdefault.jpg","Stayfree Project Free Period - Case Film"
"2016-out-there-canada-goose","0.4444","https://clios.com/awards/winner/branded-content/canada-goose/out-there-13299","https://www.youtube.com/watch?v=RkVh4TZWHS8","https://i.ytimg.com/vi/RkVh4TZWHS8/hqdefault.jpg","CANADA GOOSE - OUT THERE"
"2019-an-post-address-point","0.4286","http://post/address-point-pointing-a-way-back-home-for-ireland-67773","https://www.youtube.com/watch?v=YjtnAOH9ZfE","https://i.ytimg.com/vi/YjtnAOH9ZfE/hqdefault.jpg","An Post - Address Point"
"2019-block-wish-hok-elanto","0.4","https://clios.com/awards/winner/digital-mobile-social-media-technique/alepa/block-wish-49298","https://www.youtube.com/watch?v=qLQ6rUBdphs","https://i.ytimg.com/vi/qLQ6rUBdphs/hqdefault.jpg","YARIA FLAWLESS WISH | WORTH IT? #honorofkings #Hok"
"2019-contract-translator-reclame-aqui","0.375","https://sites.wpp.com/wppedcream/2019/advertising/promo_and_activation/contract-translator","https://www.youtube.com/watch?v=7XRYvV0Qp6E","https://i.ytimg.com/vi/7XRYvV0Qp6E/hqdefault.jpg","Grey Brasil - The Art of Waiting (Reclame Aqui)"
"2018-christmas-2117-edeka","0.375","https://clios.com/awards/winner/film-technique-visual-effects/edeka/christmas-2117-38347","https://www.youtube.com/watch?v=jNs65KjHog8","https://i.ytimg.com/vi/jNs65KjHog8/hqdefault.jpg","Beauty In Craft Episode 2 - Christmas 2117 (MPC London \u0026 EDEKA)"
